pitch control
time,pitch\_input,pitch\_setpoint,elevator\_angle\_output,
seconds,rad,rad,rad,
5506.68163395, -0.03890000, -0.03100000,  0.17040000,
5506.78165412, -0.03940000, -0.03440000,  0.16040000,
5506.88208675, -0.04010000, -0.03270000,  0.17930000,
5506.98196435, -0.04100000, -0.03270000,  0.17910000,
5507.08163404, -0.04190000, -0.03220000,  0.17670000,
5507.18156028, -0.04250000, -0.03270000,  0.15920000,
5507.28167963, -0.04260000, -0.03220000,  0.14660000,
5507.38168979, -0.04270000, -0.03330000,  0.12180000,
5507.48163629, -0.04260000, -0.03110000,  0.13070000,
5507.58164167, -0.04220000, -0.03450000,  0.10000000,
5507.68167686, -0.04170000, -0.03220000,  0.10010000,
5507.78165412, -0.04110000, -0.03220000,  0.08310000,
5507.88176370, -0.04030000, -0.03220000,  0.07520000,
5507.98166943, -0.03960000, -0.03330000,  0.06970000,
5508.08163452, -0.03880000, -0.03110000,  0.07490000,
5508.18161345, -0.03800000, -0.03330000,  0.06070000,
5508.28169227, -0.03740000, -0.03050000,  0.08110000,
5508.38167596, -0.03690000, -0.03220000,  0.09460000,
5508.48166084, -0.03690000, -0.03100000,  0.11970000,
5508.58164549, -0.03700000, -0.03500000,  0.11300000,
5508.68167090, -0.03740000, -0.02980000,  0.15490000,
5508.78160787, -0.03810000, -0.03270000,  0.14870000,
5508.88156343, -0.03870000, -0.03090000,  0.15550000,
5508.98168707, -0.03920000, -0.03440000,  0.14030000,
5509.08157015, -0.03970000, -0.03150000,  0.16200000,
5509.18164110, -0.04030000, -0.03140000,  0.16740000,
5509.28204155, -0.04120000, -0.03150000,  0.16650000,
5509.38161469, -0.04170000, -0.03150000,  0.15110000,
5509.48170972, -0.04170000, -0.03210000,  0.14200000,
5509.58161974, -0.04180000, -0.03150000,  0.13040000,
5509.68165803, -0.04170000, -0.03200000,  0.12200000,
5509.78169918, -0.04170000, -0.03150000,  0.11620000,
5509.88159370, -0.04130000, -0.03260000,  0.10140000,
5509.98158550, -0.04090000, -0.03100000,  0.10360000,
5510.08161020, -0.04040000, -0.03330000,  0.09090000,
5510.18168664, -0.04000000, -0.03160000,  0.09500000,
5510.28206682, -0.03950000, -0.02990000,  0.11140000,
5510.38163209, -0.03920000, -0.03160000,  0.10760000,
5510.48164272, -0.03900000, -0.03050000,  0.12190000,
5510.58154488, -0.03910000, -0.03220000,  0.12270000,
5510.68232560, -0.03930000, -0.03050000,  0.13290000,
5510.78174329, -0.03940000, -0.03280000,  0.12270000,
5510.88207316, -0.03950000, -0.03060000,  0.13780000,
5510.98161268, -0.03960000, -0.03110000,  0.13220000,
5511.08161283, -0.03970000, -0.03060000,  0.13080000,
5511.18164468, -0.03960000, -0.03110000,  0.11890000,
5511.28171444, -0.03940000, -0.03220000,  0.11000000,
5511.38159871, -0.03940000, -0.03050000,  0.11500000,
5511.48162961, -0.03940000, -0.02990000,  0.11920000,
5511.58167577, -0.03930000, -0.03160000,  0.11140000,
5511.68164515, -0.03920000, -0.03040000,  0.12360000,
5511.78164268, -0.03940000, -0.03320000,  0.11890000,
5511.88166928, -0.03990000, -0.02980000,  0.14270000,
5511.98156285, -0.03990000, -0.03260000,  0.13400000,
