depth
time,pressure,depth_raw,depth_filt,
seconds,Pa,m,m,
2978.02386999,-2547.07800000, -0.25970000, -0.30910000,
2978.12501073,-2515.41590000, -0.25650000, -0.30390000,
2978.22434711,-2495.57950000, -0.25450000, -0.29890000,
2978.32487893,-2464.10820000, -0.25130000, -0.29420000,
2978.42508650,-2387.81410000, -0.24350000, -0.28910000,
2978.52633882,-2339.55810000, -0.23860000, -0.28400000,
2978.62596655,-2293.20940000, -0.23380000, -0.27900000,
2978.72862053,-2244.19050000, -0.22880000, -0.27400000,
2978.82724547,-2222.06520000, -0.22660000, -0.26930000,
2978.91588092,-2184.87180000, -0.22280000, -0.26460000,
2979.02873182,-2190.02170000, -0.22330000, -0.26050000,
2979.12857628,-2270.13040000, -0.23150000, -0.25760000,
2979.22936344,-2292.44650000, -0.23380000, -0.25520000,
2979.31735253,-2322.96410000, -0.23690000, -0.25340000,
2979.43099904,-2433.78130000, -0.24820000, -0.25290000,
2979.52988410,-2503.78110000, -0.25530000, -0.25310000,
2979.63086748,-2537.15970000, -0.25870000, -0.25370000,
2979.73149252,-2662.85420000, -0.27150000, -0.25540000,
2979.83172202,-2729.42080000, -0.27830000, -0.25770000,
2979.93369317,-2898.22150000, -0.29550000, -0.26150000,
2980.03179622,-3024.29750000, -0.30840000, -0.26620000,
2980.13469934,-3150.75490000, -0.32130000, -0.27170000,
2980.21857023,-3223.04350000, -0.32870000, -0.27740000,
2980.33535933,-3379.06490000, -0.34460000, -0.28410000,
2980.43559861,-3482.06200000, -0.35510000, -0.29120000,
2980.53527737,-3718.38290000, -0.37920000, -0.30000000,
2980.63617539,-3952.79650000, -0.40310000, -0.31030000,
2980.73873520,-4123.88590000, -0.42050000, -0.32130000,
2980.83625054,-4289.06260000, -0.43740000, -0.33290000,
2980.93859816,-4362.11420000, -0.44480000, -0.34410000,
2981.03860259,-4467.40000000, -0.45550000, -0.35530000,
2981.13929296,-4505.16560000, -0.45940000, -0.36570000,
2981.23961854,-4517.94490000, -0.46070000, -0.37520000,
2981.34019828,-4519.66150000, -0.46090000, -0.38380000,
2981.44035816,-4577.26350000, -0.46680000, -0.39210000,
2981.54109335,-4563.91210000, -0.46540000, -0.39940000,
2981.64170671,-4526.33720000, -0.46160000, -0.40560000,
2981.74108529,-4493.14930000, -0.45820000, -0.41090000,
2981.84192252,-4478.08120000, -0.45660000, -0.41540000,
2981.94284558,-4481.51450000, -0.45700000, -0.41960000,
2982.04368877,-4391.29670000, -0.44780000, -0.42240000,
2982.14278364,-4418.76260000, -0.45060000, -0.42520000,
2982.24389029,-4418.19040000, -0.45050000, -0.42780000,
2982.34479785,-4359.44390000, -0.44450000, -0.42940000,
2982.44477224,-4343.80360000, -0.44290000, -0.43080000,
2982.54521465,-4304.89360000, -0.43900000, -0.43160000,
2982.64590621,-4321.86910000, -0.44070000, -0.43250000,
2982.74603939,-4293.25880000, -0.43780000, -0.43300000,
2982.84695053,-4311.18790000, -0.43960000, -0.43370000,
2982.94975924,-4273.42230000, -0.43580000, -0.43390000,
2983.04147792,-4250.15260000, -0.43340000, -0.43390000,
2983.14789701,-4282.76840000, -0.43670000, -0.43410000,
2983.24959993,-4284.48500000, -0.43690000, -0.43440000,
2983.34180593,-4282.76840000, -0.43670000, -0.43460000,
2983.45014143,-4408.08140000, -0.44950000, -0.43610000,
2983.55019188,-4481.51450000, -0.45700000, -0.43820000,
2983.65132523,-4541.40530000, -0.46310000, -0.44070000,
2983.75187683,-4488.57170000, -0.45770000, -0.44240000,
2983.85184741,-4470.64250000, -0.45590000, -0.44380000,
2983.95199680,-4460.34280000, -0.45480000, -0.44490000,
2984.05313635,-4394.15770000, -0.44810000, -0.44520000,
2984.15323615,-4327.20970000, -0.44130000, -0.44480000,
