line tracking
time,cross\_track\_err\_input,cross\_track\_err\_setpoint,yaw\_line,yaw\_setpoint,
seconds,m,m,rad,rad,
5171.39575696,  0.25000000,  0.00000000,  3.92490000,  4.06330000,
5171.49575496,  0.25000000,  0.00000000,  3.92490000,  4.06310000,
5171.59601617,  0.24000000,  0.00000000,  3.92490000,  4.06310000,
5171.69591713,  0.25000000,  0.00000000,  3.92490000,  4.06250000,
5171.79608107,  0.21000000,  0.00000000,  3.92490000,  4.06540000,
5171.89582849,  0.13000000,  0.00000000,  3.92490000,  4.07070000,
5171.99600363,  0.03000000,  0.00000000,  3.92490000,  4.07680000,
5172.09579849,  0.20000000,  0.00000000,  3.92490000,  4.06550000,
5172.19579268,  0.25000000,  0.00000000,  3.92490000,  4.06240000,
5172.29580164,  0.15000000,  0.00000000,  3.92490000,  4.06870000,
5172.39649463,  0.15000000,  0.00000000,  3.92490000,  4.06870000,
5172.49609017,  0.11000000,  0.00000000,  3.92490000,  4.07110000,
5172.59573555,  0.06000000,  0.00000000,  3.92490000,  4.07490000,
5172.69593549, -0.06000000,  0.00000000,  3.92490000,  4.08280000,
5172.79668760, -0.09000000,  0.00000000,  3.92490000,  4.08500000,
5172.89600611, -0.13000000,  0.00000000,  3.92490000,  4.08730000,
5172.99585986, -0.19000000,  0.00000000,  3.92490000,  4.09170000,
5173.09597850, -0.33000000,  0.00000000,  3.92490000,  4.10140000,
5173.19601774, -0.33000000,  0.00000000,  3.92490000,  4.10100000,
5173.29590845, -0.29000000,  0.00000000,  3.92490000,  4.09890000,
5173.39578128, -0.28000000,  0.00000000,  3.92490000,  4.09840000,
5173.49602246, -0.35000000,  0.00000000,  3.92490000,  4.10330000,
5173.59585595, -0.36000000,  0.00000000,  3.92490000,  4.10410000,
5173.69599795, -0.34000000,  0.00000000,  3.92490000,  4.10260000,
5173.79570150, -0.33000000,  0.00000000,  3.92490000,  4.10220000,
5173.89603758, -0.28000000,  0.00000000,  3.92490000,  4.09900000,
5173.99570036, -0.31000000,  0.00000000,  3.92490000,  4.10130000,
5174.09578443, -0.28000000,  0.00000000,  3.92490000,  4.09930000,
5174.19591188, -0.21000000,  0.00000000,  3.92490000,  4.09470000,
5174.29591179, -0.21000000,  0.00000000,  3.92490000,  4.09490000,
5174.39572716, -0.14000000,  0.00000000,  3.92490000,  4.09030000,
5174.49593210, -0.11000000,  0.00000000,  3.92490000,  4.08840000,
5174.59578133, -0.13000000,  0.00000000,  3.92490000,  4.08960000,
5174.69572115, -0.04000000,  0.00000000,  3.92490000,  4.08400000,
5174.79574084, -0.11000000,  0.00000000,  3.92490000,  4.08840000,
